university,user_id,user_name,number_tweets,friends_count,followers_count,created_at
pucv_cl,153592056.0,gonzaloua,899,439,100,Tue Jun 08 23:37:43 +0000 2010
pucv_cl,184637164.0,camiisanz_dc,537,299,90,Mon Aug 30 02:39:09 +0000 2010
pucv_cl,276547996.0,nquirogasaez,11,171,34,Sun Apr 03 15:50:49 +0000 2011
pucv_cl,331962470.0,fndx_17,4442,2376,426,Sat Jul 09 00:36:46 +0000 2011
pucv_cl,565968340.0,Lirey_Rojas,85,153,22,Sun Apr 29 04:07:09 +0000 2012
pucv_cl,391698200.0,pauli0028,151,492,88,Sat Oct 15 23:53:47 +0000 2011
pucv_cl,584480349.0,perritacurauma,8,67,17,Sat May 19 03:35:55 +0000 2012
pucv_cl,584319270.0,GLADISOSORIOCOL,5,549,22,Fri May 18 23:06:36 +0000 2012
pucv_cl,583863668.0,micke_lomuscio,809,1383,250,Fri May 18 14:41:22 +0000 2012
pucv_cl,561419872.0,Brillarpuntocl,176,844,258,Mon Apr 23 19:47:30 +0000 2012
pucv_cl,248202024.0,julyla_ra,8,175,20,Sun Feb 06 13:44:16 +0000 2011
pucv_cl,247147710.0,lamagdatullida,13395,1719,1370,Fri Feb 04 05:24:06 +0000 2011
pucv_cl,544294503.0,noticias_quinan,820,587,177,Tue Apr 03 11:52:52 +0000 2012
pucv_cl,98864598.0,PauloAlcalde,7553,2507,988,Wed Dec 23 12:04:12 +0000 2009
pucv_cl,97794194.0,javita_masso,52,90,28,Sat Dec 19 01:57:35 +0000 2009
pucv_cl,266309499.0,inach_gob,5448,3251,13269,Tue Mar 15 01:12:41 +0000 2011
pucv_cl,406025690.0,ManuelTamayo91,143,113,41,Sun Nov 06 04:27:20 +0000 2011
pucv_cl,568799083.0,CreaActuaAhorra,720,593,227,Wed May 02 04:37:40 +0000 2012
pucv_cl,329307888.0,piscoleando,725,333,156,Mon Jul 04 21:24:06 +0000 2011
pucv_cl,191973027.0,lilith_parra,134,916,105,Fri Sep 17 21:08:45 +0000 2010
pucv_cl,400502105.0,Domiperrot,163,312,59,Sat Oct 29 04:15:33 +0000 2011
pucv_cl,21906542.0,Pato_amikino,8667,853,333,Wed Feb 25 19:31:38 +0000 2009
pucv_cl,95556763.0,Gousaro,19,71,25,Wed Dec 09 02:30:35 +0000 2009
pucv_cl,122819978.0,brendi_x,57,123,32,Sun Mar 14 01:30:55 +0000 2010
pucv_cl,46785964.0,Ayatollah_,7550,959,304,Sat Jun 13 00:31:17 +0000 2009
pucv_cl,152469221.0,Caro_FR,196,160,51,Sun Jun 06 02:02:36 +0000 2010
pucv_cl,571167483.0,LayRaby,265,190,125,Fri May 04 19:23:35 +0000 2012
pucv_cl,304791212.0,ac_saenz,230,973,261,Wed May 25 03:30:28 +0000 2011
pucv_cl,319301541.0,IgualesChile,66326,29184,154796,Fri Jun 17 22:02:47 +0000 2011
pucv_cl,115962902.0,Braulio_94,123,118,47,Sat Feb 20 16:19:06 +0000 2010
pucv_cl,190346284.0,Cld_Gamboa,3044,776,237,Mon Sep 13 18:32:39 +0000 2010
pucv_cl,574980721.0,camilo_mv,5,24,30,Wed May 09 02:29:12 +0000 2012
pucv_cl,147776130.0,FosoBolados,252,1127,416,Tue May 25 01:14:20 +0000 2010
pucv_cl,576703404.0,COMJESUSMEJOS,0,116,25,Thu May 10 22:23:19 +0000 2012
pucv_cl,435171024.0,carosooo,10,124,55,Mon Dec 12 19:13:28 +0000 2011
pucv_cl,183844751.0,Allison_Foster,115,654,201,Sat Aug 28 01:23:02 +0000 2010
pucv_cl,131983618.0,falmuna74,12117,2473,1061,Sun Apr 11 23:34:55 +0000 2010
pucv_cl,389031936.0,marce__paz,3,94,17,Tue Oct 11 18:55:48 +0000 2011
pucv_cl,575012353.0,CONDUZCOCERO,74,23,11,Wed May 09 03:26:13 +0000 2012
pucv_cl,185844802.0,vangokusan,376,410,62,Wed Sep 01 23:52:47 +0000 2010
pucv_cl,161361099.0,caarolmira,75,280,115,Wed Jun 30 17:10:02 +0000 2010
pucv_cl,221861622.0,connieaguirre,459,163,89,Wed Dec 01 20:35:01 +0000 2010
pucv_cl,431754009.0,eileenvkp,304,224,75,Thu Dec 08 17:08:04 +0000 2011
pucv_cl,118467092.0,NROSSE,8,25,17,Sun Feb 28 19:47:43 +0000 2010
pucv_cl,499238618.0,dunetchkas,50,186,94,Tue Feb 21 22:41:11 +0000 2012
pucv_cl,573187757.0,RodrigoAbayay,63,148,32,Mon May 07 01:36:43 +0000 2012
pucv_cl,573360534.0,CeeInfoPUCV,50,70,145,Mon May 07 04:01:32 +0000 2012
pucv_cl,159947831.0,guerreroleiva,593,370,243,Sat Jun 26 19:15:43 +0000 2010
pucv_cl,116077885.0,ortegacars,9536,1899,876,Sun Feb 21 02:48:47 +0000 2010
pucv_cl,238809297.0,danicanelo_,85,178,73,Sun Jan 16 03:03:54 +0000 2011
pucv_cl,118413434.0,estephafuentesm,2364,461,263,Sun Feb 28 16:18:25 +0000 2010
pucv_cl,566120669.0,esmeraldaduart5,219,1355,916,Sun Apr 29 08:44:48 +0000 2012
pucv_cl,566118770.0,daniela76776731,205,1219,930,Sun Apr 29 08:41:45 +0000 2012
pucv_cl,566113967.0,guadalu19999914,149,1073,714,Sun Apr 29 08:33:36 +0000 2012
pucv_cl,566107817.0,karlaalv05,79,1402,812,Sun Apr 29 08:23:07 +0000 2012
pucv_cl,566006596.0,monse54824178,63,705,625,Sun Apr 29 05:21:19 +0000 2012
pucv_cl,119123043.0,italoaraya,4406,924,303,Tue Mar 02 18:53:33 +0000 2010
pucv_cl,280470150.0,IgnaciaPM,8,150,69,Mon Apr 11 11:39:44 +0000 2011
pucv_cl,268891281.0,Viunita,1485,309,144,Sat Mar 19 17:45:05 +0000 2011
pucv_cl,399953815.0,GrupoStellae,1005,1168,593,Fri Oct 28 09:01:06 +0000 2011
pucv_cl,105308708.0,NavarroPinto,3661,203,175,Sat Jan 16 00:22:56 +0000 2010
pucv_cl,570570516.0,Gonzo_Orostica,65,327,123,Fri May 04 03:10:46 +0000 2012
pucv_cl,122101013.0,camiii9,116,295,109,Thu Mar 11 15:58:43 +0000 2010
pucv_cl,569532599.0,PriscyGodoy,28,179,30,Thu May 03 00:06:59 +0000 2012
pucv_cl,464366468.0,ElenaCynthia,460,158,78,Sun Jan 15 04:39:22 +0000 2012
pucv_cl,29155223.0,VicenteMorales,2427,858,191,Mon Apr 06 06:15:25 +0000 2009
pucv_cl,241827078.0,Fezuva,39,398,124,Sun Jan 23 06:53:50 +0000 2011
pucv_cl,119246359.0,cami_dp,8202,584,415,Wed Mar 03 02:39:28 +0000 2010
pucv_cl,56923932.0,NicoGuz,240,1023,413,Wed Jul 15 04:26:41 +0000 2009
pucv_cl,88483754.0,msalgadoo,10386,739,472,Sun Nov 08 19:02:25 +0000 2009
pucv_cl,533272836.0,cursosypost_CL,932,118,58,Thu Mar 22 14:27:40 +0000 2012
pucv_cl,402980917.0,Dartagnan_1210,54,557,75,Tue Nov 01 21:11:09 +0000 2011
